2023-11-09 at 21:45:02 | INFO | payment_check_coroutine : Check result: False, time: 1076088.031
2023-11-09 at 21:45:04 | INFO | payment_check_coroutine : Checking payment at 1076090.031
2023-11-09 at 21:45:04 | INFO | payment_check_coroutine : Check result: False, time: 1076090.187
2023-11-09 at 21:45:06 | INFO | payment_check_coroutine : Checking payment at 1076092.187
2023-11-09 at 21:45:06 | INFO | payment_check_coroutine : Check result: False, time: 1076092.406
2023-11-09 at 21:45:08 | INFO | payment_check_coroutine : Checking payment at 1076094.406
2023-11-09 at 21:45:08 | INFO | payment_check_coroutine : Check result: False, time: 1076094.562
2023-11-09 at 21:45:10 | INFO | payment_check_coroutine : Checking payment at 1076096.562
2023-11-09 at 21:45:11 | INFO | payment_check_coroutine : Check result: False, time: 1076096.718
2023-11-09 at 21:45:13 | INFO | payment_check_coroutine : Checking payment at 1076098.734
2023-11-09 at 21:45:13 | INFO | payment_check_coroutine : Check result: False, time: 1076098.89
2023-11-09 at 21:45:15 | INFO | payment_check_coroutine : Checking payment at 1076100.89
2023-11-09 at 21:45:15 | INFO | payment_check_coroutine : Check result: False, time: 1076101.046
2023-11-09 at 21:45:17 | INFO | payment_check_coroutine : Checking payment at 1076103.046
2023-11-09 at 21:45:17 | INFO | payment_check_coroutine : Check result: False, time: 1076103.187
2023-11-09 at 21:45:19 | INFO | payment_check_coroutine : Checking payment at 1076105.187
2023-11-09 at 21:45:19 | INFO | payment_check_coroutine : Check result: False, time: 1076105.328
2023-11-09 at 21:45:21 | INFO | payment_check_coroutine : Checking payment at 1076107.328
2023-11-09 at 21:45:21 | INFO | payment_check_coroutine : Check result: False, time: 1076107.484
2023-11-09 at 21:45:23 | INFO | payment_check_coroutine : Checking payment at 1076109.484
2023-11-09 at 21:45:24 | INFO | payment_check_coroutine : Check result: False, time: 1076109.765
2023-11-09 at 21:45:26 | INFO | payment_check_coroutine : Checking payment at 1076111.765
2023-11-09 at 21:45:26 | INFO | payment_check_coroutine : Check result: False, time: 1076111.921
2023-11-09 at 21:45:28 | INFO | payment_check_coroutine : Checking payment at 1076113.921
2023-11-09 at 21:45:28 | INFO | payment_check_coroutine : Check result: False, time: 1076114.062
2023-11-09 at 21:45:30 | INFO | payment_check_coroutine : Checking payment at 1076116.062
2023-11-09 at 21:45:30 | INFO | payment_check_coroutine : Check result: False, time: 1076116.281
2023-11-09 at 21:45:32 | INFO | payment_check_coroutine : Checking payment at 1076118.281
2023-11-09 at 21:45:32 | INFO | payment_check_coroutine : Check result: False, time: 1076118.421
2023-11-09 at 21:45:34 | INFO | payment_check_coroutine : Checking payment at 1076120.421
2023-11-09 at 21:45:34 | INFO | payment_check_coroutine : Check result: False, time: 1076120.578
2023-11-09 at 21:45:36 | INFO | payment_check_coroutine : Checking payment at 1076122.578
2023-11-09 at 21:45:37 | INFO | payment_check_coroutine : Check result: False, time: 1076122.734
2023-11-09 at 21:45:39 | INFO | payment_check_coroutine : Checking payment at 1076124.734
2023-11-09 at 21:45:39 | INFO | payment_check_coroutine : Check result: False, time: 1076124.875
2023-11-09 at 21:45:41 | INFO | payment_check_coroutine : Checking payment at 1076126.875
2023-11-09 at 21:45:41 | INFO | payment_check_coroutine : Check result: False, time: 1076127.046
2023-11-09 at 21:45:43 | INFO | payment_check_coroutine : Checking payment at 1076129.046
2023-11-09 at 21:45:43 | INFO | payment_check_coroutine : Check result: False, time: 1076129.187
2023-11-09 at 21:45:45 | INFO | payment_check_coroutine : Checking payment at 1076131.187
2023-11-09 at 21:45:45 | INFO | payment_check_coroutine : Check result: False, time: 1076131.328
2023-11-09 at 21:45:47 | INFO | payment_check_coroutine : Checking payment at 1076133.328
2023-11-09 at 21:45:48 | INFO | payment_check_coroutine : Check result: False, time: 1076133.953
2023-11-09 at 21:45:50 | INFO | payment_check_coroutine : Checking payment at 1076135.953
2023-11-09 at 21:45:50 | INFO | payment_check_coroutine : Check result: False, time: 1076136.515
2023-11-09 at 21:45:52 | INFO | payment_check_coroutine : Checking payment at 1076138.515
2023-11-09 at 21:45:52 | INFO | payment_check_coroutine : Check result: False, time: 1076138.671
2023-11-09 at 21:45:54 | INFO | payment_check_coroutine : Checking payment at 1076140.671
2023-11-09 at 21:45:55 | INFO | payment_check_coroutine : Check result: False, time: 1076140.828
2023-11-09 at 21:45:57 | INFO | payment_check_coroutine : Checking payment at 1076142.828
2023-11-09 at 21:45:57 | INFO | payment_check_coroutine : Check result: False, time: 1076142.984
2023-11-09 at 21:45:59 | INFO | payment_check_coroutine : Checking payment at 1076144.984
2023-11-09 at 21:45:59 | INFO | payment_check_coroutine : Check result: False, time: 1076145.14
2023-11-09 at 21:46:01 | INFO | payment_check_coroutine : Checking payment at 1076147.14
2023-11-09 at 21:46:01 | INFO | payment_check_coroutine : Check result: False, time: 1076147.281
